Group,SubjectID,Sex,AdoptAgeMonths,AgeAtTest,YearsStudyInSweden,YearsSpentInKorea,YearsStudyInKorea,DailyInput,VowelScore,ObstruentScore,GJScore
Adoptee,A1,M,7,32,6,0.8,0,FALSE,66,59,27
Adoptee,A2,M,15,23,1,0.1,0,FALSE,63,33,27
Adoptee,A3,M,18,37,3,1.3,1.3,FALSE,64,55,29
Adoptee,A4,M,21,31,1,0.1,0,FALSE,62,58,27
Adoptee,A5,F,18,34,1,0,0,FALSE,66,52,15
Adoptee,A6,F,4,30,4,1.1,1,FALSE,54,41,31
Adoptee,A7,F,18,33,2,1,1,FALSE,66,30,24
Adoptee,A8,M,4,27,0.5,0.5,0.5,FALSE,74,53,30
Adoptee,A9,M,10,34,3,0.1,0,FALSE,62,35,26
Adoptee,A10,M,13,29,1,0.1,0,FALSE,70,49,26
Adoptee,A11,M,14,32,4.5,0.4,0,TRUE,70,32,16
Adoptee,A12,M,5,32,2.5,0.9,1,FALSE,62,58,28
Adoptee,A13,M,3,27,1.5,3.5,1,TRUE,74,66,33
Adoptee,A14,F,17,31,2,1.1,1,FALSE,61,37,28
Adoptee,A15,F,30,26,2,0.1,0,FALSE,72,42,24
Adoptee,A16,F,47,36,4,0.4,0,FALSE,63,38,27
Adoptee,A17,F,38,29,1,0,0,FALSE,69,46,21
Adoptee,A18,F,26,33,2,0.8,0.8,FALSE,65,60,31
Adoptee,A19,F,108,36,1,0.1,0.1,FALSE,68,67,22
Adoptee,A20,F,125,36,1,0.1,0,FALSE,72,71,27
Adoptee,A21,M,78,32,1,0.4,0,FALSE,67,36,16
Native,S1,M,0,25,3,0.8,0.3,TRUE,69,57,33
Native,S2,M,0,37,13,4.5,0.3,TRUE,73,56,34
Native,S3,F,0,23,1,1,1,TRUE,68,46,30
Native,S4,M,0,29,2,0,0,FALSE,68,54,22
Native,S5,M,0,31,3,1,0.3,TRUE,69,54,22
Native,S6,M,0,25,1,0.3,0,FALSE,52,44,32
Native,S7,F,0,33,2,1.9,1.8,TRUE,77,48,30
Native,S8,M,0,41,13,1.7,0.5,TRUE,70,55,36
Native,S9,F,0,24,1,1,1,TRUE,74,51,32
Native,S10,F,0,25,2.5,0,0,FALSE,72,55,28
Native,S11,M,0,44,4,0.2,0,FALSE,66,47,36
