"Nationality","Speaker","Vowel","LanguageVowel","Language","F0","F1","F2","F3"
"Korean","k1","u","우","Korean",107,291,654,2677
"Korean","k1","u","우","Korean",111,292,674,2687
"Korean","k1","u","우","Korean",107,291,642,2659
"Korean","k1","u","우","Korean",109,293,665,2601
"Korean","k1","u","우","Korean",118,299,722,2611
"Korean","k1","u","우","Korean",118,315,720,2702
"Korean","k1","u","우","Korean",115,298,700,2625
"Korean","k1","u","우","Korean",117,311,705,2639
"Korean","k1","u","우","Korean",114,312,680,2664
"Korean","k1","u","우","Korean",114,318,697,2536
"Korean","k2","u","우","Korean",130,310,666,2545
"Korean","k2","u","우","Korean",124,311,620,2519
"Korean","k2","u","우","Korean",144,286,594,2521
"Korean","k2","u","우","Korean",134,294,661,2507
"Korean","k2","u","우","Korean",141,289,643,2511
"Korean","k2","u","우","Korean",140,290,568,2491
"Korean","k2","u","우","Korean",139,310,765,2525
"Korean","k2","u","우","Korean",145,289,584,2426
"Korean","k2","u","우","Korean",133,335,698,2625
"Korean","k2","u","우","Korean",137,345,714,2462
"Korean","k3","u","우","Korean",140,323,628,2256
"Korean","k3","u","우","Korean",142,327,645,2377
"Korean","k3","u","우","Korean",139,313,639,2302
"Korean","k3","u","우","Korean",144,305,627,2227
"Korean","k3","u","우","Korean",146,326,682,2254
"Korean","k3","u","우","Korean",141,345,654,2270
"Korean","k3","u","우","Korean",144,325,624,2131
"Korean","k3","u","우","Korean",149,318,685,2324
"Korean","k3","u","우","Korean",145,334,664,2283
"Korean","k3","u","우","Korean",147,331,667,2288
"Korean","k4","u","우","Korean",131,319,678,2252
"Korean","k4","u","우","Korean",130,300,681,2289
"Korean","k4","u","우","Korean",138,298,680,2350
"Korean","k4","u","우","Korean",140,281,670,2379
"Korean","k4","u","우","Korean",142,301,683,2320
"Korean","k4","u","우","Korean",144,301,717,2252
"Korean","k4","u","우","Korean",142,312,700,2297
"Korean","k4","u","우","Korean",149,304,696,2373
"Korean","k4","u","우","Korean",138,312,674,2325
"Korean","k4","u","우","Korean",131,293,696,2334
"Korean","k5","u","우","Korean",146,283,709,2857
"Korean","k5","u","우","Korean",147,287,662,2836
"Korean","k5","u","우","Korean",144,285,645,2935
"Korean","k5","u","우","Korean",151,297,705,2864
"Korean","k5","u","우","Korean",144,297,698,2821
"Korean","k5","u","우","Korean",142,295,716,2738
"Korean","k5","u","우","Korean",142,279,690,2747
"Korean","k5","u","우","Korean",144,284,779,2857
"Korean","k5","u","우","Korean",143,295,771,2898
"Korean","k5","u","우","Korean",141,297,672,2908
"Russian","r1","u","У","Russian",107,290,545,2953
"Russian","r1","u","У","Russian",93,303,567,2856
"Russian","r1","u","У","Russian",97,292,544,2960
"Russian","r1","u","У","Russian",91,268,548,2937
"Russian","r1","u","У","Russian",100,290,570,2904
"Russian","r1","u","У","Russian",100,283,592,3128
"Russian","r1","u","У","Russian",93,276,546,2964
"Russian","r1","u","У","Russian",101,272,527,3078
"Russian","r1","u","У","Russian",103,294,620,2906
"Russian","r1","u","У","Russian",104,288,537,2858
"Russian","r2","u","У","Russian",132,316,612,2564
"Russian","r2","u","У","Russian",146,333,592,2580
"Russian","r2","u","У","Russian",157,330,636,2609
"Russian","r2","u","У","Russian",150,339,640,2541
"Russian","r2","u","У","Russian",177,348,711,2612
"Russian","r2","u","У","Russian",160,332,647,2681
"Russian","r2","u","У","Russian",203,394,612,2729
"Russian","r2","u","У","Russian",186,361,545,2717
"Russian","r2","u","У","Russian",164,327,682,2790
"Russian","r2","u","У","Russian",167,333,693,2706
"Russian","r3","u","У","Russian",160,328,708,2309
"Russian","r3","u","У","Russian",161,321,657,2400
"Russian","r3","u","У","Russian",189,269,567,2277
"Russian","r3","u","У","Russian",185,368,549,2282
"Russian","r3","u","У","Russian",182,329,521,2336
"Russian","r3","u","У","Russian",183,321,527,2318
"Russian","r3","u","У","Russian",199,319,601,2303
"Russian","r3","u","У","Russian",222,296,670,2279
"Russian","r3","u","У","Russian",219,277,662,2353
"Russian","r3","u","У","Russian",198,311,589,2346
"Russian","r4","u","У","Russian",200,328,490,1964
"Russian","r4","u","У","Russian",188,348,572,2047
"Russian","r4","u","У","Russian",181,340,543,1994
"Russian","r4","u","У","Russian",187,337,554,2007
"Russian","r4","u","У","Russian",205,379,618,1873
"Russian","r4","u","У","Russian",158,316,634,2012
"Russian","r4","u","У","Russian",160,316,635,1914
"Russian","r4","u","У","Russian",160,314,487,1920
"Russian","r4","u","У","Russian",162,319,630,1945
"Russian","r4","u","У","Russian",149,298,536,1939
"Russian","r5","u","У","Russian",108,319,564,2261
"Russian","r5","u","У","Russian",107,314,565,2313
"Russian","r5","u","У","Russian",152,308,579,2249
"Russian","r5","u","У","Russian",106,309,557,2268
"Russian","r5","u","У","Russian",136,287,558,2312
"Russian","r5","u","У","Russian",141,286,567,2272
"Russian","r5","u","У","Russian",147,292,576,2241
"Russian","r5","u","У","Russian",139,290,572,2259
"Russian","r5","u","У","Russian",150,312,626,2283
"Russian","r5","u","У","Russian",145,298,592,2157
"Korean","k1","o","오","Korean",130,374,669,2677
"Korean","k1","o","오","Korean",135,387,644,2687
"Korean","k1","o","오","Korean",139,397,667,2659
"Korean","k1","o","오","Korean",135,374,639,2601
"Korean","k1","o","오","Korean",141,397,669,2611
"Korean","k1","o","오","Korean",143,386,610,2702
"Korean","k1","o","오","Korean",143,393,632,2625
"Korean","k1","o","오","Korean",139,394,716,2639
"Korean","k1","o","오","Korean",136,374,669,2664
"Korean","k1","o","오","Korean",136,381,701,2536
