都道府県,性別,平均寿命,健康寿命,年少人口,老年人口,共働き,気温,湿度,降水量,雪日数,県所得,財政力指数,学歴大学,１次産業就業,２次産業就業,３次産業就業,完全失業率,図書館数,ボランティア活動,スポーツの行動者率,旅行・行楽行動者率,持ち家,公園数,病院数,医師数,交通事故件数,スマートフォン,喫煙率,毎日酒を飲む割合,軽く汗をかく運動,糖尿病,食塩摂取量,BMI,歩数,血圧薬の使用,ジニ係数,地域スポーツクラブ育成率,老人クラブ入会率,健康・医療サービス活動,まちづくり活動,う蝕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,男,79.17,78.52,11.4,29.1,21.24,10,67,"1,275",108,"2,545",0.398,11.3,7.2,17.1,70.2,7.1,26.2,23.8,60,72,57.7,34.05,9.2,230.2,206.7,865,39.2,0.387,0.285,5.8,10.7,23.6,7244.8,0.248240046,0.36,62.60%,0.08697351,4,10.2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青森県,男,77.28,76.56,11.4,30.1,27.31,11.5,74,"1,004",102,"2,426",0.317,9.1,12.7,20,64.6,9,24.2,22.7,49.4,59.1,71.3,26.31,6.1,193.3,294.6,848,40.3,0.446,0.292,9.3,11.7,24.3,7001,0.297408662,0.374,72.50%,0.112928982,3,12.2,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩手県,男,78.53,77.63,11.9,30.4,29.57,11.6,73,"1,094",96,"2,698",0.318,9.7,12,24.3,62.3,7.1,35,33.7,55,65.2,68.9,32.6,5.9,192,200.1,909,38,0.472,0.243,6.2,12.9,24.3,6902.4,0.260858913,0.347,90.90%,0.163229165,2.1,17.3,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮城県,男,79.65,79.25,12.5,25.7,24.6,13.7,69,"1,445",58,"2,857",0.559,14.3,5,22.1,70.5,7.8,15.5,30.7,60.2,73.9,58,90.25,4.9,221.2,369.5,"1,048",37.3,0.431,0.298,4.5,11.7,24.1,6439,0.280544427,0.383,65.70%,0.062920354,2.1,13.9,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秋田県,男,78.22,77.26,10.5,33.8,30.78,12.7,70,"1,491",94,"2,463",0.28,9,9.9,24.7,63.9,7,42.8,28.9,53.9,66.8,78.1,18.15,5.4,216.3,210.2,921,38.2,0.519,0.279,5.8,12.3,24.3,6788.4,0.28326251,0.334,100.00%,0.166495633,2.5,17.5,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山形県,男,79.97,78.41,12.1,30.8,36.05,12.7,71,"1,027",89,"2,629",0.324,10.5,9.8,29,59.5,5.8,32.7,35.3,57,69.5,76.7,29.25,4.9,215,573.5,"1,061",34.4,0.445,0.208,3.6,12.4,23.9,7108.1,0.275771772,0.376,97.10%,0.127691362,3.1,20.5,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福島県,男,78.84,77.91,12.1,28.7,29.76,14.2,70,"1,284",73,"2,787",0.469,10.1,7.6,29.2,60,7.1,33.2,27.2,57,72.3,66.5,26.79,5.4,188.8,360.2,992,38.9,0.449,0.278,6.6,12.1,23.8,8575.9,0.293230572,0.358,84.70%,0.139432027,2.8,16,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茨城県,男,79.09,78.33,12.6,26.8,28.25,14.8,74,"1,227",11,"3,138",0.619,14.5,5.8,28.2,60.8,6.7,19.9,25.8,62.3,69.6,71.3,49.32,5.5,169.6,398.1,"1,166",35.6,0.401,0.318,6.6,11.3,24.2,7752.9,0.251270057,0.343,86.40%,0.112818545,2.2,14.6,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栃木県,男,79.06,78.39,12.9,25.9,29.21,14.9,67,"1,651",17,"3,255",0.594,13.5,5.6,30.7,59.6,6.3,24.5,26.2,63.4,72.1,70.6,71.01,4.6,212.8,320.5,"1,041",35.5,0.397,0.313,6,11.9,23.7,7443.8,0.258211459,0.351,88.00%,0.111460954,2.9,14.7,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群馬県,男,79.4,78.41,12.8,27.6,29.41,15.6,62,"1,232",14,"3,054",0.575,13.5,5.4,30.8,60.7,6.3,27,29.2,63.7,74.1,70.6,62.71,5.9,218.9,771.8,"1,084",35.8,0.416,0.321,6.6,11.7,23.8,7671.2,0.256411849,0.35,77.10%,0.186054299,2.4,16.4,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埼玉県,男,79.62,78.93,12.6,24.8,25.35,16,63,"1,335",10,"2,859",0.755,19.4,1.7,23.5,67.6,6.3,22.2,24,66.9,76.7,66.1,196.56,4,152.8,406.4,"1,178",33.8,0.415,0.324,5.8,12.2,23.6,8555,0.251537645,0.349,73.00%,0.079921421,3.8,8.7,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千葉県,男,79.88,79.15,12.4,25.9,23.54,16.7,66,"1,616",16,"3,019",0.764,21,2.9,19.2,71.6,6.1,22.5,26,66,74.2,66.3,190.78,4,182.9,299.7,"1,133",33.6,0.407,0.318,4.8,12.1,23.5,8024.6,0.246553135,0.334,63.00%,0.064555141,3.7,10.3,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,男,79.82,78.95,11.5,22.7,17.74,16.4,68,"1,782",11,"4,508",0.925,25.1,0.4,15.2,70.8,5.9,29.9,24.6,68.6,77.3,45.8,576.32,4.4,304.5,253.6,"1,275",31.3,0.403,0.329,5.5,11.4,23.4,8272.4,0.254812371,0.378,83.90%,0.077982444,2.7,5.2,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川県,男,80.25,79.26,12.6,23.9,21.39,16.7,70,"1,836",8,"2,972",0.917,24.8,0.8,21.5,72.7,5.8,9.2,24.4,66.1,78.3,58.6,503.69,3.2,201.7,310.2,"1,175",30.1,0.405,0.327,3.8,11.6,24.2,8098.6,0.240992014,0.35,78.80%,0.038518227,2.5,8.4,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新潟県,男,79.47,78.65,12,29.9,32.95,14.4,72,"1,468",76,"2,767",0.413,10.8,6.1,28.7,62.7,5.5,33.4,23.5,57.2,70.4,75.5,51.44,4.8,188.2,232,"1,050",35,0.499,0.268,4.6,11.7,23.1,6927.2,0.256115618,0.335,76.70%,0.127967751,2.8,14.3,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
