Country,Export,Import
Arab Emirate,233,264
Australia,189,221
Austria,153,155
Belgium,399,376
Brazil,191,189
Canada,408,462
China,2281,1602
Czech Republic,158,141
France,506,572
Germany,1329,1050
HongKong,465,523
India,266,392
Indonesia,150,143
Italy,459,409
Japan,625,648
Malaysia,200,176
Mexico,381,435
Netherlands,567,506
Poland,198,194
Russia,343,182
SaudiArabia,210,173
Singapore,352,297
Spain,282,312
Switzerland,290,252
Thailand,211,202
Turkey,144,207
UK,460,626
USA,1505,2242
VietNam,165,215
Korea,527,436
