City, Country,HighTemp,LowTemp
Seoul, Korea,25.2,-3.3
Beijing, China,25.9,-4.3
New Delhi, India,33.5,14.2
Jakarta, Indonesia,27.7,26.3
Jerusalem, Israel,23.1,8.3
Tokyo, Japan,27.1,5.2
Riyadh, Saudi,35.2,14.0
Bangkok, Thailand,30.5,26.1
Ankara, Turkey,22.9,0.0
Mexico City, Mexico,18.6,13.2
Washington, USA),26.3,1.4
Buenos Aires, Argentina,24.5,11.1
Brasilia, Brazil,21.7,18.5
Punta Angeles, Chile,17.1,11.6
Wien, Austria,19.8,-0.7
Paris, France,18.4,3.5
Berlin, Germany,18.8,-0.2
Athens, Greece,27.7,10.3
Roma, Italy,23.8,8.0
Moskva, Russia,18.2,-9.2
Madrid, Spain,24.4,6.1
Stockholm, Sweden,17.1,-3.0
Zurich, Swiss,17.7,-0.4
London, UK,16.5,3.8
Cairo, Egypt,28.0,13.9
Canberra, Austraiia,20.4,5.4
