Country, 2000, 2005, 2010, 2015
Australia,21090,32914,49537,54731
Austria,24149,38089,46892,43490
Belgium,23752,37109,45552,40283
Canada,23448,35348,46378,42814
Chile,5040,7079,11925,13038
Czech,5880,12691,18221,16306
Denmark,30124,49201,58562,53373
Estonia,3911,9925,13875,16922
Finland,24103,39133,46791,42002
France,23474,36612,42900,38359
Germany,23652,35532,43322,42465
Greece,11943,22384,26254,17894
Hungary,4392,10544,12386,11789
Iceland,30825,54294,34944,49992
Ireland,22649,43656,40447,43112
Israel,20043,21131,30884,36210
Italy,19908,31634,35599,30311
Japan,38113,36844,44323,33924
Korea,11865,18508,22170,27340
Latvia,3344,7511,11475,13677
Luxembourg,39203,67583,76667,70757
Mexico,6504,7751,8947,8942
Netherlands,26482,41711,50698,44411
NewZealand,12865,26034,31586,37019
Norway,37633,67496,88551,78298
Poland,4503,7781,12019,11948
Portugal,11295,18537,21757,18810
Slovakia,5377,11282,16507,15583
Slovenia,10247,18094,23159,20475
Spain,14557,26007,30291,25974
Sweden,29287,43666,53581,51429
Switzerland,40435,59705,78711,81941
Turkey,4152,7038,10021,9009
UK,26599,41161,38821,43199
USA,36838,44647,48797,56370
