Country,Male,Female
Australia,79.9,84.3
Austria,78.5,83.6
Belgium,78.0,83.0
Canada,79.7,83.8
Chile,78.1,84.1
CzechRepublic,75.4,81.3
Denmark,78.0,81.9
Estonia,71.6,81.1
Finland,77.6,83.4
France,78.8,84.9
Germany,78.2,83.1
Greece,77.6,83.6
Hungary,71.2,78.5
Iceland,80.7,83.8
Ireland,78.4,82.7
Israel,80.2,83.8
Italy,80.3,85.2
Japan,80.0,86.5
Korea,78.0,84.6
Latvia,68.9,78.7
Luxembourg,72.9,77.5
Mexico,74.0,78.9
Netherlands,79.4,83.1
NewZealand,79.7,83.4
Norway,79.2,83.4
Poland,73.1,81.1
Portugal,77.4,83.5
Slovakia,72.2,79.7
Slovenia,76.9,83.1
Spain,79.4,85.1
Sweden,80.1,83.7
Switzerland,80.4,84.7
Turkey,71.5,78.1
UnitedKingdom,78.5,82.4
USA,76.5,81.3
