"Country","LifeExp"
Australia,82.6
Austria,81.7
Belgium,81.6
Canada,82.0
Chile,80.2
Czech Republic,79.1
Denmark,81.2
Estonia,78.2
Finland,81.7
France,82.6
Germany,81.1
Greece,81.4
Hungary,75.9
Iceland,82.7
Ireland,82.2
Israel,82.6
Italy,83.0
Japan,84.2
Korea,82.7
Latvia,74.8
Lithuania,75.6
Luxembourg,82.2
Mexico,75.4
Netherlands,81.8
New Zealand,81.9
Norway,82.7
Poland,77.9
Portugal,81.5
Slovak Republic,77.3
Slovenia,81.1
Spain,83.4
Sweden,82.5
Switzerland,83.6
Turkey,78.1
United Kingdom,81.3
United States,78.6