연령별,인구,남자,여자,성비
0 - 4세,7613,3970,3643,109
5 - 9세,8004,4116,3888,105.9
10 - 14세,12243,6378,5865,108.7
15 - 19세,10958,5744,5214,110.2
20 - 24세,6336,3682,2654,138.7
25 - 29세,8310,4575,3735,122.5
30 - 34세,9979,5161,4818,107.1
35 - 39세,11907,5861,6046,96.9
40 - 44세,14637,7877,6760,116.5
45 - 49세,12359,6815,5544,122.9
50 - 54세,9940,5267,4673,112.7
55 - 59세,6683,3702,2981,124.2
60 - 64세,4677,2407,2270,106
65 - 69세,3688,1563,2125,73.6
70 - 74세,3909,1641,2268,72.4
75 - 79세,2946,1026,1920,53.4
80 - 84세,1784,546,1238,44.1
85세이상,1127,280,847,33.1
